id,mes,año,fecha_nacimiento,sexo,nivel_formativo,discapacidad,inmigrante,perceptor,dificil_insercion,tipo_accion,colocacion,fecha_colocacion,fecha_fin_contrato,tipo_contrato,column,column_2
1,11,2021,1971-08-24,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
2,11,2021,1968-10-04,Mujer,Estudios secundarios,S,N,N,S,Alta,N,desconocido,desconocido,desconocido,desconocido,desconocido
3,11,2021,1966-02-07,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
4,11,2021,1969-11-11,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
5,11,2021,1965-02-05,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
6,11,2021,1966-05-21,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
7,11,2021,1975-04-16,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
8,11,2021,1960-03-25,Hombre,Estudios post-secundarios,S,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
9,11,2021,1976-10-07,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
10,11,2021,1961-06-12,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
11,11,2021,1975-09-17,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
12,11,2021,1966-01-01,Hombre,Sin estudios,N,S,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
13,11,2021,1963-01-31,Hombre,Estudios secundarios,S,N,S,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
14,11,2021,1961-01-19,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
15,11,2021,1975-10-17,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
16,11,2021,1975-09-30,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
17,11,2021,1970-09-10,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
18,11,2021,1976-11-05,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
19,11,2021,1974-12-18,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
20,11,2021,1977-03-22,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
21,11,2021,1963-10-26,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
22,11,2021,1969-12-10,Hombre,Estudios secundarios,S,N,S,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
23,11,2021,1976-06-20,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
24,11,2021,1978-08-16,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
25,11,2021,1976-08-29,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
26,11,2021,1978-06-13,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
27,11,2021,1958-01-13,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
28,11,2021,1980-03-28,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
29,11,2021,1961-12-16,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
30,11,2021,1965-05-10,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
31,11,2021,1977-12-06,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
32,11,2021,1974-01-13,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
33,11,2021,1962-10-25,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
34,11,2021,1962-10-01,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
35,11,2021,1971-12-07,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
36,11,2021,1971-07-22,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
37,11,2021,1974-06-21,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,desconocido,desconocido,desconocido,desconocido,desconocido
38,11,2021,1973-07-27,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
39,11,2021,1971-12-21,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
40,11,2021,1978-05-18,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
41,11,2021,1973-06-05,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
42,11,2021,1977-10-08,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,desconocido,desconocido,desconocido,desconocido,desconocido
