Período,Fecha de nacimiento,Sexo,NivelFormativo,Discapacidad,Inmigrante,Perceptor,DificilInsercion,Tipo acción,Colocacion,FechaColocacion,FechaFinContrato,TipoContrato,,
11/21,24/08/1971,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,04/10/1968,Mujer,Estudios secundarios,S,N,N,S,Alta,N,,,,,
11/21,07/02/1966,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,11/11/1969,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,05/02/1965,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,21/05/1966,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,16/04/1975,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,25/03/1960,Hombre,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,07/10/1976,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,12/06/1961,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,17/09/1975,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,01/01/1966,Hombre,Sin estudios,N,S,N,S,Intento colocación,N,,,,,
11/21,31/01/1963,Hombre,Estudios secundarios,S,N,S,S,Intento colocación,N,,,,,
11/21,19/01/1961,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,17/10/1975,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,30/09/1975,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,10/09/1970,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,05/11/1976,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,18/12/1974,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,22/03/1977,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,26/10/1963,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,10/12/1969,Hombre,Estudios secundarios,S,N,S,S,Intento colocación,N,,,,,
11/21,20/06/1976,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,16/08/1978,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,29/08/1976,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,13/06/1978,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,13/01/1958,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,28/03/1980,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,16/12/1961,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,10/05/1965,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,06/12/1977,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,13/01/1974,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,25/10/1962,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,01/10/1962,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,07/12/1971,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,22/07/1971,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,21/06/1974,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
11/21,27/07/1973,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,21/12/1971,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,18/05/1978,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,05/06/1973,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,08/10/1977,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,19/08/1971,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,08/05/1977,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,28/06/1978,Hombre,Estudios post-secundarios,S,N,S,S,Intento colocación,N,,,,,
11/21,25/10/1979,Hombre,Estudios secundarios,N,N,S,N,Intento colocación,N,,,,,
11/21,22/06/1973,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,03/10/1978,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,23/04/1975,Hombre,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,29/03/1959,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
11/21,26/07/1968,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,15/07/1972,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,28/05/1981,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,26/07/1975,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,12/05/1975,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,30/01/1966,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,25/06/1971,Hombre,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,02/10/1971,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,24/04/1971,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,13/04/1968,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,26/01/1968,Hombre,Estudios primarios,S,N,N,S,Intento colocación,N,,,,,
11/21,27/06/1974,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
11/21,18/07/1972,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,30/07/1972,Mujer,Estudios post-secundarios,N,S,N,S,Intento colocación,N,,,,,
11/21,03/07/1980,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,04/04/1978,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,21/07/1972,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,27/01/1983,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,13/10/1972,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,11/09/1968,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,11/07/1960,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,08/06/1983,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
11/21,05/01/1977,Hombre,Estudios post-secundarios,N,N,S,N,Alta,N,,,,,
11/21,16/01/1964,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,14/08/1968,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,04/05/1976,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
11/21,18/05/1966,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,18/01/1971,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,14/08/1973,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,24/11/1978,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
11/21,23/01/1964,Hombre,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
11/21,24/10/1962,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
