id,id_area,area,partida,id_capitulo,capitulo,id_organo,organo,credito_inicial,unidades_credito_inicial,credito_modificacion,unidades_credito_modificacion,credito_definitivo,unidades_credito_definitivo,gasto_comprometido,unidades_gasto_comprometido,obligacion_neta,unidades_obligacion_neta,pago_neto,unidades_pago_neto,obligacion_pendiente_pago,unidades_obligacion_pendiente_pago,remanente_credito,unidades_remanente_credito,fecha,concepto
https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-62500,05,ACCION SOCIAL Y FAMILIA,EQUIPAMIENTO Y MOBILIARIO SERVICIOS SOCIALES,6,Inversiones Reales,ACS,ACCION SOCIAL,140000,euros,0,euros,140000,euros,0,euros,0,euros,0,euros,0,euros,140000,euros,2022-01-28,22ACS--2311-62500
https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2316-48000,05,ACCION SOCIAL Y FAMILIA,PLAN DE CHOQUE CRISIS:AYUDAS DE URGENCIASOCIAL,4,Transferencias Corrientes,ACS,ACCION SOCIAL,5850000,euros,0,euros,5850000,euros,0,euros,0,euros,0,euros,0,euros,5850000,euros,2022-01-28,22ACS--2316-48000
https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-20200,05,ACCION SOCIAL Y FAMILIA,ALQUILERES CENTROS SERVICIOS SOCIALES,2,Gastos en Bienes Corrientes y Servicios,ACS,ACCION SOCIAL,15000,euros,0,euros,15000,euros,0,euros,0,euros,0,euros,0,euros,15000,euros,2022-01-28,22ACS--2311-20200
https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-21200,05,ACCION SOCIAL Y FAMILIA,"MANTENIMIENTO, FUNCIONAMIENTO Y ACTIVIDADES EQUIPAMIENTOS DE SERVICIOS SOCIALES",2,Gastos en Bienes Corrientes y Servicios,ACS,ACCION SOCIAL,660000,euros,0,euros,660000,euros,1000,euros,1000,euros,0,euros,1000,euros,659000,euros,2022-01-28,22ACS--2311-21200
https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-22699,05,ACCION SOCIAL Y FAMILIA,GASTOS SERVICIOS Y ACTIVIDADES DE PROGRAMAS,2,Gastos en Bienes Corrientes y Servicios,ACS,ACCION SOCIAL,356000,euros,0,euros,356000,euros,0,euros,0,euros,0,euros,0,euros,356000,euros,2022-01-28,22ACS--2311-22699
https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-22706,05,ACCION SOCIAL Y FAMILIA,DIGITALIZACION E INNOVACION EN SERVICIOSSOCIALES,2,Gastos en Bienes Corrientes y Servicios,ACS,ACCION SOCIAL,235000,euros,0,euros,235000,euros,0,euros,0,euros,0,euros,0,euros,235000,euros,2022-01-28,22ACS--2311-22706
https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-22799,05,ACCION SOCIAL Y FAMILIA,SERVICIOS EXTERNOS CONTRATADOS,2,Gastos en Bienes Corrientes y Servicios,ACS,ACCION SOCIAL,2705000,euros,0,euros,2705000,euros,86.25,euros,86.25,euros,0,euros,86.25,euros,2704913.75,euros,2022-01-28,22ACS--2311-22799
https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2312-22699,05,ACCION SOCIAL Y FAMILIA,"PLANIFICACION, ESTUDIOS Y OBSERVATORIO SOCIAL",2,Gastos en Bienes Corrientes y Servicios,ACS,ACCION SOCIAL,20000,euros,0,euros,20000,euros,0,euros,0,euros,0,euros,0,euros,20000,euros,2022-01-28,22ACS--2312-22699
https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2312-22799,05,ACCION SOCIAL Y FAMILIA,CENTRO ATENCION TELEFONICA SERVICIOS SOCIALES,2,Gastos en Bienes Corrientes y Servicios,ACS,ACCION SOCIAL,350000,euros,0,euros,350000,euros,0,euros,0,euros,0,euros,0,euros,350000,euros,2022-01-28,22ACS--2312-22799
https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2313-22706,05,ACCION SOCIAL Y FAMILIA,SERVICIO TELEASISTENCIA,2,Gastos en Bienes Corrientes y Servicios,ACS,ACCION SOCIAL,2800000,euros,0,euros,2800000,euros,0,euros,0,euros,0,euros,0,euros,2800000,euros,2022-01-28,22ACS--2313-22706
