id;idVia;title;numero;parcela;geometry
"1";"18500";"CALLE MARTON Y GAVIN";"10";"74483,13258";"674483.0 4613258.0"
"22";"21205";"PASEO DE LOS OLVIDADOS";"29";"73372,09872";"673372.0 4609872.0"
"25";"2200";"CALLE ARCADAS";"26";"77381,13536";"677381.0 4613536.0"
"30";"24663";"CALLE LA QUIMERA DEL ORO";"38";"73515,09866";"673515.0 4609866.0"
"34";"25225";"CALLE LA REINA DE AFRICA";"13";"73515,09866";"673515.0 4609866.0"
"43";"25225";"CALLE LA REINA DE AFRICA";"9";"73420,09942";"673420.0 4609942.0"
"51";"21205";"PASEO DE LOS OLVIDADOS";"27";"73420,09942";"673420.0 4609942.0"
"54";"9710";"CALLE EL DOCTOR MABUSE";"39";"73315,09603";"673315.0 4609603.0"
"57";"9710";"CALLE EL DOCTOR MABUSE";"45";"73315,09603";"673315.0 4609603.0"
"78";"33173";"CALLE LA VENTANA INDISCRETA";"38";"7366,09667";"67366.0 4609667.0"
"83";"11399";"CALLE EL EXPRESO DE SHANGAI";"15";"73366,09667";"673366.0 4609667.0"
"87";"31700";"CALLE TERMINILLO";"44";"74315,13301";"674315.0 4613301.0"
"91";"16100";"CALLE LARACHE";"15";"77138,11242";"677138.0 4611242.0"
"100";"30000";"CALLE SAN VIATOR";"1";"76935,10911";"676935.0 4610911.0"
"123";"24140";"CALLE PREDICADORES";"23";"76297,14080";"676297.0 4614080.0"
"129";"9236";"CALLE DESAYUNO CON DIAMANTES";"27";"72574,10035";"672574.0 4610035.0"
"138";"5767";"RONDA CANAL IMPERIAL DE ARAGON";"14";"68554,13071";"668554.0 4613071.0"
"151";"25225";"CALLE LA REINA DE AFRICA";"18";"73468,09801";"673468.0 4609801.0"
"152";"25225";"CALLE LA REINA DE AFRICA";"20";"73468,09801";"673468.0 4609801.0"
"153";"25225";"CALLE LA REINA DE AFRICA";"22";"73468,09801";"673468.0 4609801.0"
"167";"1590";"CALLE EL ANGEL AZUL";"10";"72993,09844";"672993.0 4609844.0"
"168";"7595";"CALLE CIUDADANO KANE";"33";"72993,09844";"672993.0 4609844.0"
"173";"9710";"CALLE EL DOCTOR MABUSE";"9";"72993,09844";"672993.0 4609844.0"
"179";"9236";"CALLE DESAYUNO CON DIAMANTES";"21";"72608,10112";"672608.0 4610112.0"
"180";"9236";"CALLE DESAYUNO CON DIAMANTES";"23";"72608,10112";"672608.0 4610112.0"
"198";"33173";"CALLE LA VENTANA INDISCRETA";"32";"73268,09741";"673268.0 4609741.0"
"227";"23420";"CAMINO PINSEQUE";"100";"69163,16148";"669163.0 4616148.0"
"244";"21785";"CALLE LOS PAJAROS";"11";"73244,09970";"673244.0 4609970.0"
"245";"21785";"CALLE LOS PAJAROS";"13";"73244,09970";"673244.0 4609970.0"
"247";"21785";"CALLE LOS PAJAROS";"17";"73244,09970";"673244.0 4609970.0"
"294";"7595";"CALLE CIUDADANO KANE";"29";"73044,09911";"673044.0 4609911.0"
"303";"2925";"CALLE ATRACO A LAS TRES";"4";"73396,10171";"673396.0 4610171.0"
"309";"3985";"CALLE BELLE EPOQUE";"31";"73396,10171";"673396.0 4610171.0"
"310";"17410";"CALLE LUCES DE LA CIUDAD";"17";"73396,10171";"673396.0 4610171.0"
"311";"17410";"CALLE LUCES DE LA CIUDAD";"15";"73396,10171";"673396.0 4610171.0"
"321";"15555";"AVENIDA JUAN PABLO II";"43";"74241,12139";"674241.0 4612139.0"
"325";"15320";"CALLE JESUS";"3";"77248,14241";"677248.0 4614241.0"
"355";"4218";"CALLE MARIANO BIEL";"4";"75044,18024";"675044.0 4618024.0"
"393";"24663";"CALLE LA QUIMERA DEL ORO";"4";"73196,10112";"673196.0 4610112.0"
"399";"7595";"CALLE CIUDADANO KANE";"11";"73196,10112";"673196.0 4610112.0"
"400";"24506";"CALLE LOS PUENTES DE MADISON";"21";"72675,10266";"672675.0 4610266.0"
"403";"24506";"CALLE LOS PUENTES DE MADISON";"27";"72675,10266";"672675.0 4610266.0"
"407";"9236";"CALLE DESAYUNO CON DIAMANTES";"9";"72675,10266";"672675.0 4610266.0"
"408";"9236";"CALLE DESAYUNO CON DIAMANTES";"11";"72675,10266";"672675.0 4610266.0"
"423";"13846";"CALLE EL HALCON MALTES";"6";"73146,10045";"673146.0 4610045.0"
"465";"6290";"AVENIDA CASABLANCA";"8";"72643,09909";"672643.0 4609909.0"
"468";"9325";"CALLE LA DILIGENCIA";"5";"72643,09909";"672643.0 4609909.0"
"472";"17410";"CALLE LUCES DE LA CIUDAD";"21";"73522,10076";"673522.0 4610076.0"
"474";"17410";"CALLE LUCES DE LA CIUDAD";"25";"73522,10076";"673522.0 4610076.0"
"477";"5438";"CALLE CALABUCH";"6";"73522,10076";"673522.0 4610076.0"
