id,emplazamiento,tipo_via,cod_portal,cod_via,num_via,referencia_catastral,referencia_municipal,poligono,zona_saturada,comments,actividad,iae,id_iae,id_agrupacion,creation_date,fecha_baja,last_updated,estado,licencias,coordenada_x_utm,coordenada_y_utm
2, MANIFESTACION,CALLE,869,17980,2,6439402,"76464,13998",1,C,"(Manifestacion,2)",BAR RESTAURANTE,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:26Z,abierto,2021-11-26T07:45:23Z,2,"LicenciaId [expediente=3182773, anyo=1991],LicenciaId [expediente=1198007, anyo=2002],LicenciaId [expediente=202074, anyo=2019]",676464,4613998
3, CIPRÉS,CALLE,855,7520,4,6438414,"76424,13881",1,C,Modificado horario según Acuerdo Municipal 23-05-06,BAR CON MUSICA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:26Z,abierto,2016-07-26T07:56:29Z,1,"LicenciaId [expediente=888550, anyo=2015],LicenciaId [expediente=146164, anyo=2001],LicenciaId [expediente=3099191, anyo=1996],LicenciaId [expediente=3131801, anyo=1995],LicenciaId [expediente=658521, anyo=2015]",676424,4613881
4, CONTAMINA,CALLE,863,8220,2,6438601,"76484,13868",1,C,"Modificado horario según Acuerdo Municipal 23-05-06
DECLARAR LA CADUCIDAD DE LA LICENCIA",BAR,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:26Z,abierto,2015-03-13T11:03:44Z,3,"LicenciaId [expediente=1173073, anyo=2001],LicenciaId [expediente=3006432, anyo=1990],LicenciaId [expediente=112990, anyo=2013]",676484,4613868
0, UNCETA,CALLE,6898,32440,92,4832516XM7143B,"74894,13208",1,C,I 14/03/2018  EN EL LOCAL PONE QUE SE TRASPASA.,BAR-RESTAURANTE,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:25Z,2018-05-10T10:28:20Z,2018-05-10T10:28:01Z,3,"LicenciaId [expediente=462295, anyo=1984]",674894,4613208
1, CARRICA,CALLE,861,6220,11,6438608,"76527,13839",1,C,ESQUINA CON C/ CONTAMINA,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:26Z,abierto,2011-11-22T12:18:02Z,1,"LicenciaId [expediente=775449, anyo=2001],LicenciaId [expediente=3095959, anyo=1995]",676527,4613839
5, CONTAMINA,CALLE,903,8220,3,6538309,"76488,13882",1,C,Modificado horario según Acuerdo Municipal 23-05-06,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:26Z,abierto,2019-10-18T14:50:53Z,3,"LicenciaId [expediente=253733, anyo=2019],LicenciaId [expediente=3015803, anyo=1989],LicenciaId [expediente=3164042, anyo=1998],LicenciaId [expediente=3198859, anyo=1998]",676488,4613882
6, CONTAMINA,CALLE,904,8220,5,6538307,"76508,13880",1,C,Modificado horario según Acuerdo Municipal 23-05-06,BAR,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:27Z,abierto,2011-12-29T14:24:04Z,1,"LicenciaId [expediente=776060, anyo=2011],LicenciaId [expediente=378262, anyo=2010],LicenciaId [expediente=633134, anyo=2002],LicenciaId [expediente=449721, anyo=2010],LicenciaId [expediente=3181449, anyo=1995]",676508,4613880
7, CONTAMINA,CALLE,1143,8220,6,6438603,"76510,13858",1,C,Modificado horario según Acuerdo Municipal 23-05-06,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:27Z,abierto,2019-06-27T08:47:08Z,3,"LicenciaId [expediente=749636, anyo=2016],LicenciaId [expediente=997700, anyo=2019],LicenciaId [expediente=3180721, anyo=1989],LicenciaId [expediente=3011260, anyo=1989],LicenciaId [expediente=284977, anyo=2019]",676510,4613858
8, CONTAMINA,CALLE,19633,8220,7,6538307,"76508,13880",1,C,Modificado horario según Acuerdo Municipal 23-05-06,BAR,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:27Z,abierto,2011-11-29T14:01:51Z,1,"LicenciaId [expediente=3146921, anyo=1999],LicenciaId [expediente=1086634, anyo=2010],LicenciaId [expediente=3101362, anyo=1994],LicenciaId [expediente=1351931, anyo=2010],LicenciaId [expediente=1103257, anyo=2007]",676508,4613880
9, ARIÑO,PLAZA,1042,2490,1,6736401,"76764,13705",1,D,angular a C/ San Felix,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:27Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=242657, anyo=1986],LicenciaId [expediente=410546, anyo=1986]",676764,4613705
10, CONTAMINA,CALLE,862,8220,8,6438604,"76516,13854",1,C,"ANTERIORMENTE SE LLAMABA ""EL COLUMPIO"". Modificado horario según Acuerdo Municipal 23-05-06",BAR,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:27Z,abierto,2017-04-10T09:16:04Z,3,"LicenciaId [expediente=1173207, anyo=2001],LicenciaId [expediente=877910, anyo=2014],LicenciaId [expediente=3092060, anyo=1988],LicenciaId [expediente=95596, anyo=2014],LicenciaId [expediente=1255558, anyo=2016]",676516,4613854
11, CONTAMINA,CALLE,19622,8220,9,6538306,"76521,13871",1,C,Modificado horario según Acuerdo Municipal 23-05-06,BAR CON MUSICA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:27Z,abierto,2014-10-22T08:53:46Z,1,"LicenciaId [expediente=140386, anyo=2001],LicenciaId [expediente=3114664, anyo=1989],LicenciaId [expediente=785668, anyo=2013],LicenciaId [expediente=3040479, anyo=1999]",676521,4613871
12, BRAULIO,PLAZUELA,1068,27150,1,6738101,"76711,13824",1,D,En ocasiones puede aparecer por Espoz y Mina nº 12.,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:27Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=986881, anyo=2004],LicenciaId [expediente=836341, anyo=2001],LicenciaId [expediente=3169499, anyo=1993]",676711,4613824
13, CONTAMINA,CALLE,19620,8220,10,6438605,"76521,13851",1,C,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:27Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=3017649, anyo=1995],LicenciaId [expediente=3120039, anyo=1991]",676521,4613851
14, CONTAMINA,CALLE,905,8220,11,6538305,"76528,13865",1,C,sin comentarios,PUB,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:27Z,abierto,2012-05-16T09:22:02Z,1,"LicenciaId [expediente=690219, anyo=2019],LicenciaId [expediente=3014540, anyo=1993],LicenciaId [expediente=1025584, anyo=2016],LicenciaId [expediente=368446, anyo=2011],LicenciaId [expediente=1606284, anyo=2018],LicenciaId [expediente=481488, anyo=2003]",676528,4613865
15, MINA,CALLE,1067,11060,12,6738102,"76731,13829",1,D,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:27Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=3140350, anyo=1988],LicenciaId [expediente=1483126, anyo=2016],LicenciaId [expediente=3128970, anyo=1989],LicenciaId [expediente=572464, anyo=2017]",676731,4613829
16, CONTAMINA,CALLE,920,8220,15,6538910,"76544,13853",1,C,sin comentarios,BAR,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,2012-06-18T11:53:14Z,1,"LicenciaId [expediente=3026630, anyo=1996],LicenciaId [expediente=3147978, anyo=1990],LicenciaId [expediente=247040, anyo=2012],LicenciaId [expediente=435452, anyo=2010],LicenciaId [expediente=1212748, anyo=2011]",676544,4613853
17, MINA,CALLE,1052,11060,24-26,6737508,"76781,13777",1,D,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,DESCONOCIDO,2,"LicenciaId [expediente=3573901, anyo=2000],LicenciaId [expediente=238471, anyo=2001],LicenciaId [expediente=536284, anyo=1987]",676781,4613777
18, CONTAMINA,CALLE,918,8220,18,6538803,"76552,13822",1,C,Modificado horario según Acuerdo Municipal 23-05-06,BAR CON MUSICA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,2021-07-08T09:23:03Z,1,"LicenciaId [expediente=900299, anyo=2015],LicenciaId [expediente=537402, anyo=2020],LicenciaId [expediente=3108910, anyo=1991],LicenciaId [expediente=1220944, anyo=2018],LicenciaId [expediente=3203801, anyo=1991],LicenciaId [expediente=856714, anyo=2004],LicenciaId [expediente=89042, anyo=2015]",676552,4613822
19, MARTINEZ,CALLE,991,18380,4,6637302,"76613,13791",1,D,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=3163953, anyo=1991],LicenciaId [expediente=395614, anyo=2017],LicenciaId [expediente=3011840, anyo=1990]",676613,4613791
20, MARTINEZ,CALLE,1060,18380,7,6738114,"76641,13798",1,D,iniciado tramites posible expediente de ruina. Modificado horario según Acuerdo Municipal 23-05-06,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,2011-02-18T14:19:15Z,1,"LicenciaId [expediente=18250, anyo=2011],LicenciaId [expediente=717571, anyo=2009],LicenciaId [expediente=3566429, anyo=2000],LicenciaId [expediente=3061080, anyo=1989]",676641,4613798
21, MARTINEZ,CALLE,1060,18380,7,6738114,"76641,13798",1,D,Modificado horario según Acuerdo Municipal 23-05-06,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=3215070, anyo=1999],LicenciaId [expediente=3059167, anyo=1994]",676641,4613798
22, NUÑEZ,CALLE,19626,18900,12,6637104,"76631,13722",1,D,sin comentarios,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,2011-11-22T12:19:02Z,1,"LicenciaId [expediente=3120418, anyo=1989],LicenciaId [expediente=3138260, anyo=1988]",676631,4613722
23, NUÑEZ,CALLE,971,18900,16,6636501,"76656,13704",1,D,Modificado horario según Acuerdo Municipal 23-05-06,BAR-CAFETERIA,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,2020-12-29T09:27:54Z,1,"LicenciaId [expediente=1177849, anyo=2014],LicenciaId [expediente=1361707, anyo=2016],LicenciaId [expediente=564511, anyo=2020],LicenciaId [expediente=655127, anyo=2010],LicenciaId [expediente=3111917, anyo=1994],LicenciaId [expediente=502953, anyo=2008],LicenciaId [expediente=3178088, anyo=1994],LicenciaId [expediente=1168129, anyo=2012]",676656,4613704
24, NUÑEZ,CALLE,971,18900,16,6636501,"76656,13704",1,D,Modificado horario según Acuerdo Municipal 23-05-06,DESCONOCIDO,"IAEId [seccion=1, agrupacion=67, licencia=32]",16732,67,2007-07-25T14:12:28Z,abierto,DESCONOCIDO,1,"LicenciaId [expediente=3157668, anyo=1994],LicenciaId [expediente=3133247, anyo=1994]",676656,4613704
