id;idCapitulo;capitulo;aplicacion;previsionInicial;previsionModificacion;previsionDefinitivo;derechosReconocidos;derechosAnuladosYDevoluciones;derechosCancelados;derechosReconocidosNetos;recaudacionNeta;derechosPendientesCobro;excesoDefectoPrevision;fecha;concepto
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-33903";"3";"Tasas, precios públicos y otros gastos";"MERCADOS LANUZA Y SAN VICENTE PAUL (O.F. 24.29)";"230000";"0";"230000";"248655.28";"0";"0";"248655.28";"215238.84";"33416.44";"18655.28";"20111231";"33903"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-33904";"3";"Tasas, precios públicos y otros gastos";"OCUPACION SUBSUELO VIA PUBLICA (O.F. 25.7)";"630000";"0";"630000";"773432.59";"142999.48";"0";"630433.11";"577921.92";"52511.19";"433.11";"20111231";"33904"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-33905";"3";"Tasas, precios públicos y otros gastos";"PUESTOS Y BARRACAS (O.F. 25.5)";"165000";"0";"165000";"176633.17";"0";"0";"176633.17";"176633.17";"0";"11633.17";"20111231";"33905"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-34200";"3";"Tasas, precios públicos y otros gastos";"PRESTACION DE SERVICIOS DE CENTROS CULTURALES (O.F. 27)";"60000";"0";"60000";"62033.3";"0";"0";"62033.3";"62033.3";"0";"2033.3";"20111231";"34200"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-34900";"3";"Tasas, precios públicos y otros gastos";"PRESTACION SERVICIOS EN CENTROS CIVICOS";"0";"0";"0";"115.35";"0";"0";"115.35";"115.35";"0";"115.35";"20111231";"34900"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-35000";"3";"Tasas, precios públicos y otros gastos";"CONTRIBUCIONES ESPECIALES PARA EJECUCION DE OBRAS (O.F. 26)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20111231";"35000"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-35100";"3";"Tasas, precios públicos y otros gastos";"CONTRIBUCIONES ESPECIALES PARA ESTABLECIMIENTO O AMPLIACION SERVICIOS (O.F. 26)";"1557000";"0";"1557000";"1530466.84";"0";"0";"1530466.84";"1530466.84";"0";"-26533.16";"20111231";"35100"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-36000";"3";"Tasas, precios públicos y otros gastos";"VENTAS EFECTOS NO UTILIZABLES";"1500000";"0";"1500000";"1863417.25";"8488.92";"0";"1854928.33";"1753789.57";"101138.76";"354928.33";"20111231";"36000"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-36001";"3";"Tasas, precios públicos y otros gastos";"VENTA DE PUBLICACIONES";"1000";"0";"1000";"2.9";"0";"0";"2.9";"2.9";"0";"-997.1";"20111231";"36001"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-38900";"3";"Tasas, precios públicos y otros gastos";"COMPENSACION RECOGIDA SELECTIVA EMBALAJES Y ENVASES (ECOEMBES)";"3000000";"0";"3000000";"2425414.07";"0";"0";"2425414.07";"1738870.94";"686543.13";"-574585.93";"20111231";"38900"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-38901";"3";"Tasas, precios públicos y otros gastos";"PAGOS INDEBIDOS DE EJERCICIOS CERRADOS";"800000";"0";"800000";"761845.63";"0";"0";"761845.63";"761845.63";"0";"-38154.37";"20111231";"38901"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39100";"3";"Tasas, precios públicos y otros gastos";"MULTAS POR INFRACCIONES URBANISTICAS";"1750000";"0";"1750000";"1512815.1";"232936.14";"0";"1279878.96";"276562.39";"1003316.57";"-470121.04";"20111231";"39100"
