id,id_capitulo,capitulo,aplicacion,prevision_inicial,unidades_prevision_inicial,prevision_modificacion,unidades_prevision_modificacion,prevision_definitivo,unidades_prevision_definitivo,derechos_reconocidos,unidades_derechos_reconocidos,derechos_anulados_devoluciones,unidades_derechos_anulados_devoluciones,derechos_cancelados,unidades_derechos_cancelados,derechos_reconocidos_netos,unidades_derechos_reconocidos_netos,recaudacion_neta,unidades_recaudacion_neta,derechos_pendientes_cobro,unidades_derechos_pendientes_cobro,exceso_defecto_prevision,unidades_exceso_defecto_prevision,fecha,concepto
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-10000,1,Impuestos Directos,IMPUESTO SOBRE LA RENTA DE LAS PERSONASFISICAS,20668100,euros,0,euros,20668100,euros,1624259.52,euros,0,euros,0,euros,1624259.52,euros,1612774.55,euros,11484.97,euros,-19043840.48,euros,2022-01-28,10000
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-11200,1,Impuestos Directos,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA RUSTICA (O.F. 2),4000000,euros,0,euros,4000000,euros,648101.74,euros,3832.66,euros,0,euros,644269.08,euros,623768.3,euros,20500.78,euros,-3355730.92,euros,2022-01-28,11200
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-11300,1,Impuestos Directos,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA (O.F. 2),158500000,euros,0,euros,158500000,euros,31904637.76,euros,94340.01,euros,0,euros,31810297.75,euros,31472987.82,euros,337309.93,euros,-126689702.25,euros,2022-01-28,11300
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-11400,1,Impuestos Directos,IMPUESTO SOBRE BIENES INMUEBLES DE CARACTERISTICAS ESPECIALES (O.F. 2),725000,euros,0,euros,725000,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,-725000,euros,2022-01-28,11400
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-11500,1,Impuestos Directos,IMPUESTO SOBRE VEHICULOS DE TRACCION MECANICA (O.F. 6),31000000,euros,0,euros,31000000,euros,40749.52,euros,26644.47,euros,0,euros,14105.05,euros,9355.73,euros,4749.32,euros,-30985894.95,euros,2022-01-28,11500
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-11600,1,Impuestos Directos,IMPUESTO SOBRE INCREMENTO DEL VALOR DE LOS TERRENOS DE NATURALEZA URBANA (O.F. 9,31500000,euros,0,euros,31500000,euros,-30575.24,euros,1013165.92,euros,0,euros,-1043741.16,euros,-947667.62,euros,-96073.54,euros,-32543741.16,euros,2022-01-28,11600
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-13000,1,Impuestos Directos,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS (O.F. 3),28000000,euros,0,euros,28000000,euros,6759.77,euros,647.54,euros,0,euros,6112.23,euros,9625.36,euros,-3513.13,euros,-27993887.77,euros,2022-01-28,13000
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-21000,2,Impuestos Indirectos,IMPUESTO SOBRE EL VALOR AÑADIDO,13604500,euros,0,euros,13604500,euros,1310489.67,euros,0,euros,0,euros,1310489.67,euros,1284223.11,euros,26266.56,euros,-12294010.33,euros,2022-01-28,21000
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-22000,2,Impuestos Indirectos,IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,131700,euros,0,euros,131700,euros,15912.59,euros,0,euros,0,euros,15912.59,euros,15762.94,euros,149.65,euros,-115787.41,euros,2022-01-28,22000
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-22001,2,Impuestos Indirectos,IMPUESTO SOBRE LA CERVEZA,65900,euros,0,euros,65900,euros,6148.98,euros,0,euros,0,euros,6148.98,euros,6135.4,euros,13.58,euros,-59751.02,euros,2022-01-28,22001
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-22003,2,Impuestos Indirectos,IMPUESTO SOBRE LAS LABORES DEL TABACO,1115500,euros,0,euros,1115500,euros,104390.01,euros,0,euros,0,euros,104390.01,euros,104329.76,euros,60.25,euros,-1011109.99,euros,2022-01-28,22003
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-22004,2,Impuestos Indirectos,IMPUESTO SOBRE HIDROCARBUROS,2741300,euros,0,euros,2741300,euros,291671.32,euros,0,euros,0,euros,291671.32,euros,291078.02,euros,593.3,euros,-2449628.68,euros,2022-01-28,22004
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-22006,2,Impuestos Indirectos,IMPUESTO SOBRE PRODUCTOS INTERMEDIOS,3500,euros,0,euros,3500,euros,364.46,euros,0,euros,0,euros,364.46,euros,361.99,euros,2.47,euros,-3135.54,euros,2022-01-28,22006
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-29000,2,Impuestos Indirectos,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS (O.F. 10)",12000000,euros,0,euros,12000000,euros,464404.68,euros,8903.65,euros,0,euros,455501.03,euros,453645.36,euros,1855.67,euros,-11544498.97,euros,2022-01-28,29000
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-30000,3,"Tasas, precios públicos y otros gastos",ABASTECIMIENTO DE AGUA POTABLE (O.F. 24.25),29400000,euros,0,euros,29400000,euros,2827105.5,euros,7095.24,euros,0,euros,2820010.26,euros,-2150.98,euros,2822161.24,euros,-26579989.74,euros,2022-01-28,30000
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-30001,3,"Tasas, precios públicos y otros gastos",VERIFICACION CONTADORES AGUA (24.25),0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,2022-01-28,30001
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20220128-30200,3,"Tasas, precios públicos y otros gastos",RECOGIDA DE RESIDUOS DE COMPETENCIA MUNICIPAL (O.F. 17.1),16500000,euros,0,euros,16500000,euros,1750666.22,euros,0,euros,0,euros,1750666.22,euros,45.45,euros,1750620.77,euros,-14749333.78,euros,2022-01-28,30200
