zbs_cod,km2,zbs_nom,omi_2020-04-04,tasa_2020-04-04,omi_2020-04-05,tasa_2020-04-05,omi_2020-04-06,tasa_2020-04-06,omi_2020-04-07,tasa_2020-04-07,omi_2020-04-08,tasa_2020-04-08,omi_2020-04-09,tasa_2020-04-09,omi_2020-04-10,tasa_2020-04-10,omi_2020-04-13,tasa_2020-04-13,omi_2020-04-14,tasa_2020-04-14,omi_2020-04-15,tasa_2020-04-15,omi_2020-04-16,tasa_2020-04-16,omi_2020-04-17,tasa_2020-04-17,omi_2020-04-20,tasa_2020-04-20,omi_2020-04-21,tasa_2020-04-21,omi_2020-04-22,tasa_2020-04-22,omi_2020-04-23,tasa_2020-04-23,omi_2020-04-25,tasa_2020-04-25,omi_2020-04-27,tasa_2020-04-27,omi_2020-04-28,tasa_2020-04-28,omi_2020-04-29,tasa_2020-04-29,omi_2020-04-30,tasa_2020-04-30,omi_2020-05-01,tasa_2020-05-01,omi_2020-05-04,tasa_2020-05-04,omi_2020-05-10,tasa_2020-05-10,omi_2020-05-18,tasa_2020-05-18,omi_2020-05-24,tasa_2020-05-24,omi_2020-05-31,tasa_2020-05-31,omi_2020-06-08,tasa_2020-06-08,omi_2020-06-15,tasa_2020-06-15,omi_2020-06-22,tasa_2020-06-22,omi_2020-06-29,tasa_2020-06-29,omi_2020-07-06,tasa_2020-07-06,omi_2020-07-13,tasa_2020-07-13,omi_2020-07-20,tasa_2020-07-20,omi_2020-07-27,tasa_2020-07-27,omi_2020-08-03,tasa_2020-08-03,omi_2020-08-10,tasa_2020-08-10,omi_2020-08-17,tasa_2020-08-17,omi_2020-08-24,tasa_2020-08-24,omi_2020-08-31,tasa_2020-08-31,omi_2020-09-07,tasa_2020-09-07,omi_2020-09-14,tasa_2020-09-14,omi_2020-09-21,tasa_2020-09-21,omi_2020-09-28,tasa_2020-09-28,omi_2020-10-05,tasa_2020-10-05,omi_2020-10-12,tasa_2020-10-12,omi_2020-10-19,tasa_2020-10-19,omi_2020-10-26,tasa_2020-10-26,omi_2020-11-02,tasa_2020-11-02,omi_2020-11-09,tasa_2020-11-09,omi_2020-11-16,tasa_2020-11-16,omi_2020-11-23,tasa_2020-11-23,omi_2020-11-30,tasa_2020-11-30,omi_2020-12-07,tasa_2020-12-07,omi_2020-12-14,tasa_2020-12-14,omi_2020-12-21,tasa_2020-12-21,omi_2020-12-28,tasa_2020-12-28,omi_2021-01-04,tasa_2021-01-04,pob_2020-02-29,omi_2021-01-11,tasa_2021-01-11,omi_2021-01-18,tasa_2021-01-18,omi_2021-01-25,tasa-2021-01-25,omi_2021-02-01,tasa_2021-02-01,omi_2021-02-08,tasa_2021-02-08,omi_2021-02-15,tasa_2021-02-15,omi_2021-02-22,tasa_2021-02-22,omi_2021-03-01,tasa_2021-03-01,omi_2021-03-08,tasa_2021-03-08,omi_2021-03-15,tasa_2021-03-15,omi_2021-03-22,tasa_2021-03-22,omi_2021-03-29,tasa_2021-03-29,omi_2021-04-05,tasa_2021-04-05,omi_2021-04-12,tasa_2021-04-12,omi_2021-04-19,tasa_2021-04-19,omi_2021-04-26,tasa_2021-04-26,omi_2021-05-03,tasa_2021-05-03,omi_2021-05-17,tasa_2021-05-17,omi_2021-05-24,tasa_2021-05-24,pob_2020-12-31
2505.0,0.91452,REBOLERIA,226.0,1158.73667,226.0,1158.73667,237.0,1215.13536,243.0,1245.89828,252.0,1292.04266,256.0,1312.55127,256.0,1312.55127,260.0,1333.05988,263.0,1348.44134,266.0,1363.82281,278.0,1425.34865,286.0,1466.36587,286.0,1466.36587,291.0,1492.00164,296.0,1517.63741,297.0,1522.76456,311.0,1594.54471,313.0,1604.79902,314.0,1609.92617,317.0,1625.30763,322.0,1650.9434,329.0,1686.83347,333.0,1707.34208,341.0,1748.36,348.0,1784249.0,373.0,1912.43,380.0,1948.32,386.0,1979.08,390.0,1999.59,394.0,2020.1,396.0,2030.35,399.0,2045.73,409.0,2097.01,440.0,2255.95,489.0,2507.18,573.0,2937.86,637.0,3266.0,708.0,3630.02461,749.0,3840.24,777.0,3983.79819,819.0,4199.13864,862.0,4419.61,921.0,4722.11,928.0,4758.0,948.0,4860.54,985.0,5050.25,1045.0,5357.88,1121.0,5747.54,1193.0,6116.69,1260.0,6460.21,1316.0,6747.33,1361.0,6978.06,1403.0,7193.4,1420.0,7280.56,1428.0,7321.58,1444.0,7403.61,1462.0,7495.9,1512.0,7752.26,19504.0,1566.0,8030.36,1645.0,8435.46,1707.0,8753.4,1745.0,8948.26,1785.0,9153.38,1813.0,9296.96,1835.0,9409.77,1846.0,9466.18,1856.0,9517.46,1861.0,9543.1,1877.0,9625.15,1898.0,9732.83,1921.0,9850.78,1960.0,10050.77,1985.0,10178.97,2008.0,10296.91,2033.0,10425.11,2084.0,10686.63,2096.0,10748.17,19501.0
2507.0,0.76503,INDEPENDENCIA,30.0,238.60654,30.0,238.60654,32.0,254.51364,34.0,270.42074,34.0,270.42074,37.0,294.2814,39.0,310.1885,39.0,310.1885,39.0,310.1885,43.0,342.0027,44.0,349.95625,42.0,334.04915,42.0,334.04915,42.0,334.04915,46.0,365.86336,46.0,365.86336,62.0,493.12018,62.0,493.12018,64.0,509.02728,64.0,509.02728,65.0,516.98083,70.0,556.74859,72.0,572.65569,81.0,644.24,89.0,707866.0,95.0,755.59,103.0,819.22,108.0,858.98,113.0,898.75,114.0,906.7,115.0,914.66,116.0,922.61,122.0,970.33,147.0,1169.17,162.0,1288.48,188.0,1495.27,244.0,1940.67,262.0,2083.83043,282.0,2242.9,291.0,2314.48342,311.0,2473.55444,331.0,2632.63,354.0,2815.56,367.0,2918.95,383.0,3046.21,410.0,3260.96,441.0,3507.52,503.0,4000.64,552.0,4390.36,603.0,4795.99,642.0,5106.18,652.0,5185.72,670.0,5328.88,676.0,5376.6,685.0,5448.18,696.0,5535.67,708.0,5631.11,733.0,5829.95,12573.0,770.0,6085.03,805.0,6361.62,847.0,6693.54,891.0,7041.25,909.0,7183.5,927.0,7325.75,948.0,7491.7,955.0,7547.02,967.0,7641.85,977.0,7720.88,989.0,7815.71,1008.0,7965.86,1020.0,8060.69,1044.0,8250.36,1059.0,8368.9,1074.0,8487.43,1086.0,8582.27,1114.0,8803.54,1128.0,8914.18,12654.0
2508.0,0.60089,MADRE VEDRUNA-MIRAFLORES,68.0,351.47568,68.0,351.47568,72.0,372.15072,75.0,387657.0,76.0,392.82576,79.0,408.33204,79.0,408.33204,78.0,403.16328,77.0,397.99452,82.0,423.83832,84.0,434.17584,85.0,439.3446,85.0,439.3446,88.0,454.85088,90.0,465.1884,94.0,485.86344,114.0,589.23864,114.0,589.23864,113.0,584.06988,113.0,584.06988,114.0,589.23864,123.0,635.75748,123.0,635.75748,127.0,656.43,135.0,697783.0,153.0,790.82,162.0,837.34,167.0,863.18,172.0,889.03,176.0,909.7,181.0,935.55,185.0,956.22,190.0,982.06,204.0,1054.43,229.0,1183.65,272.0,1405.9,311.0,1607.48,352.0,1819.40352,385.0,1989.97,398.0,2057.16649,464.0,2398.30465,463.0,2393.14,517.0,2672.25,526.0,2718.77,551.0,2847.99,589.0,3044.4,633.0,3271.83,753.0,3892.08,874.0,4517.5,961.0,4967.18,1019.0,5266.97,1076.0,5561.59,1113.0,5752.83,1151.0,5949.24,1162.0,6006.1,1200.0,6202.51,1228.0,6347.24,1251.0,6466.12,19347.0,1298.0,6785.86,1350.0,7057.72,1441.0,7533.46,1482.0,7747.8,1524.0,7967.38,1552.0,8113.76,1583.0,8275.83,1600.0,8364.7,1615.0,8443.12,1632.0,8531.99,1654.0,8647.01,1670.0,8730.66,1696.0,8866.58,1740.0,9096.61,1777.0,9290.05,1813.0,9478.25,1844.0,9640.32,1880.0,9828.52,1889.0,9875.58,19128.0
2509.0,1.60493,ALMOZARA,43.0,199.34171,44.0,203.97756,67.0,310.6022,91.0,421.86269,111.0,514.57976,117.0,542.39488,118.0,547.03074,125.0,579.48171,128.0,593.38927,129.0,598.02513,137.0,635.11196,149.0,690.7422,149.0,690.7422,155.0,718.55732,158.0,732.46488,163.0,755.64415,183.0,848.36123,183.0,848.36123,189.0,876.17635,194.0,899.35562,198.0,917.89903,206.0,954.98586,208.0,964.25757,232.0,1075.52,254.0,1177507.0,278.0,1288.77,284.0,1316.58,297.0,1376.85,304.0,1409.3,309.0,1432.48,314.0,1455.66,319.0,1478.84,330.0,1529.83,369.0,1710.63,413.0,1914.61,478.0,2215.94,586.0,2716.61,657.0,3045.75588,701.0,3249.73,741.0,3435.16759,824.0,3819.94344,840.0,3894.12,922.0,4274.26,950.0,4404.06,988.0,4580.22,1042.0,4830.56,1103.0,5113.35,1204.0,5581.57,1304.0,6045.15,1394.0,6462.38,1444.0,6694.17,1492.0,6916.69,1545.0,7162.39,1584.0,7343.19,1610.0,7463.72,1649.0,7644.52,1690.0,7834.59,1722.0,7982.94,21571.0,1797.0,8381.14,1863.0,8688.96,1942.0,9057.41,1998.0,9318.6,2026.0,9449.19,2049.0,9556.46,2065.0,9631.08,2082.0,9710.37,2102.0,9803.65,2110.0,9840.96,2122.0,9896.93,2128.0,9924.91,2139.0,9976.21,2154.0,10046.17,2185.0,10190.76,2211.0,10312.02,2245.0,10470.59,2299.0,10722.45,2323.0,10834.38,21441.0
2510.0,0.71211,SAN PABLO,231.0,1034.20487,228.0,1020.77364,236.0,1056.59026,245.0,1096.88395,252.0,1128.2235,259.0,1159.56304,268.0,1199.85673,277.0,1240.15043,282.0,1262.53582,281.0,1258.05874,286.0,1280.44413,292.0,1307.30659,296.0,1325.2149,303.0,1356.55444,308.0,1378.93983,322.0,1441.61891,343.0,1535.63754,345.0,1544.59169,345.0,1544.59169,352.0,1575.93123,352.0,1575.93123,364.0,1629.65616,368.0,1647.56447,389.0,1741.58,405.0,1813216.0,425.0,1902.76,440.0,1969.91,447.0,2001.25,457.0,2046.02,462.0,2068.41,467.0,2090.8,476.0,2131.09,492.0,2202.72,547.0,2448.96,629.0,2816.08,735.0,3290.65,836.0,3742.84,928.0,4154.72779,973.0,4356.2,1014.0,4539.75645,1131.0,5063.5745,1167.0,5224.75,1273.0,5699.32,1306.0,5847.06,1356.0,6070.92,1404.0,6285.82,1467.0,6567.87,1554.0,6957.38,1662.0,7440.9,1746.0,7816.98,1798.0,8049.79,1851.0,8287.07,1902.0,8515.4,1923.0,8609.42,1938.0,8676.58,1956.0,8757.16,1975.0,8842.23,2002.0,8963.11,22336.0,2042.0,9169.7,2139.0,9605.28,2252.0,10112.71,2319.0,10413.58,2358.0,10588.71,2393.0,10745.88,2425.0,10889.58,2446.0,10983.88,2475.0,11114.1,2502.0,11235.35,2542.0,11414.97,2560.0,11495.8,2583.0,11599.08,2620.0,11765.23,2676.0,12016.7,2711.0,12173.87,2736.0,12286.14,2773.0,12452.29,2783.0,12497.19,22269.0
2511.0,137.19822,TORRERO-LA PAZ,193.0,729.67864,196.0,741.02079,216.0,816.63516,224.0,846.88091,230.0,869.56522,237.0,896.03025,242.0,914.93384,248.0,937.61815,252.0,952.74102,256.0,967.86389,261.0,986.76749,270.0,1020.79395,272.0,1028.35539,284.0,1073.72401,291.0,1100.18904,298.0,1126.65406,324.0,1224.95274,326.0,1232.51418,334.0,1262.75992,346.0,1308.12854,348.0,1315.68998,364.0,1376.18147,366.0,1383.74291,386.0,1459.36,396.0,1497164.0,420.0,1587.9,432.0,1633.27,439.0,1659.74,454.0,1716.45,458.0,1731.57,460.0,1739.13,469.0,1773.16,476.0,1799.62,495.0,1871.46,560.0,2117.2,655.0,2476.37,685.0,2589.79,787.0,2975.42533,846.0,3198.49,883.0,3338.37429,964.0,3644.61248,1000.0,3780.72,1055.0,3988.66,1064.0,4022.68,1107.0,4185.26,1162.0,4393.19,1226.0,4635.16,1330.0,5028.36,1438.0,5436.67,1535.0,5803.4,1616.0,6109.64,1675.0,6332.7,1721.0,6506.62,1756.0,6638.94,1779.0,6725.9,1807.0,6831.76,1821.0,6884.69,1845.0,6975.43,26450.0,1902.0,7094.63,1991.0,7426.61,2080.0,7758.59,2138.0,7974.93,2200.0,8206.2,2245.0,8374.05,2275.0,8485.96,2306.0,8601.59,2332.0,8698.57,2361.0,8806.74,2396.0,8937.3,2447.0,9127.53,2488.0,9280.47,2559.0,9545.3,2595.0,9679.59,2643.0,9858.63,2690.0,10033.94,2771.0,10336.08,2791.0,10410.68,26809.0
2512.0,7.83244,VENECIA,121.0,860.90359,121.0,860.90359,130.0,924.93774,139.0,988.9719,146.0,1038.77624,154.0,1095.69548,157.0,1117.0402,160.0,1138.38492,163.0,1159.72963,168.0,1195.30416,174.0,1237.9936,188.0,1337.60228,189.0,1344.71718,195.0,1387.40662,204.0,1451.44077,210.0,1494.1302,222.0,1579.50907,222.0,1579.50907,223.0,1586.62398,228.0,1622.19851,231.0,1643.54322,235.0,1672.00285,235.0,1672.00285,253.0,1800.07,270.0,1921025.0,296.0,2106.01,303.0,2155.82,311.0,2212.74,332.0,2362.15,344.0,2447.53,351.0,2497.33,356.0,2532.91,360.0,2561.37,377.0,2682.32,433.0,3080.75,518.0,3685.52,551.0,3920.31,608.0,4325.86268,653.0,4646.03,685.0,4873.71042,729.0,5186.76627,741.0,5272.15,775.0,5514.05,800.0,5691.92,826.0,5876.91,861.0,6125.93,917.0,6524.37,978.0,6958.38,1042.0,7413.73,1078.0,7669.87,1114.0,7926.0,1142.0,8125.22,1194.0,8495.2,1207.0,8587.69,1227.0,8729.99,1237.0,8801.14,1259.0,8957.67,1284.0,9135.54,14055.0,1311.0,9255.21,1351.0,9537.59,1388.0,9798.8,1421.0,10031.77,1448.0,10222.38,1475.0,10412.99,1501.0,10596.54,1518.0,10716.55,1541.0,10878.93,1554.0,10970.7,1575.0,11118.96,1591.0,11231.91,1599.0,11288.39,1620.0,11436.64,1632.0,11521.36,1658.0,11704.91,1679.0,11853.16,1733.0,12234.38,1747.0,12333.22,14165.0
2513.0,1.54289,SAGASTA-RUISEÑORES,241.0,642.73523,242.0,645.40218,251.0,669.40474,264.0,704.0751,267.0,712.07596,269.0,717.40986,269.0,717.40986,277.0,738.74547,279.0,744.07937,286.0,762.74803,293.0,781.41668,294.0,784.08364,295.0,786.75059,309.0,824.0879,319.0,850.75741,329.0,877.42693,390.0,1040.11094,390.0,1040.11094,395.0,1053.4457,410.0,1093.44997,413.0,1101.45082,439.0,1170.79155,441.0,1176.12545,490.0,1306.81,544.0,1450821.0,599.0,1597.5,621.0,1656.18,639.0,1704.18,650.0,1733.52,657.0,1752.19,680.0,1813.53,677.0,1805.53,689.0,1837.53,736.0,1962.88,821.0,2189.57,964.0,2570.94,1035.0,2760.29,1152.0,3072.32771,1249.0,3331.02,1297.0,3459.03563,1456.0,3883.08086,1434.0,3824.41,1532.0,4085.77,1564.0,4171.11,1619.0,4317.79,1705.0,4547.15,1802.0,4805.85,1970.0,5253.89,2133.0,5688.61,2266.0,6043.31,2370.0,6320.67,2431.0,6483.36,2488.0,6635.37,2536.0,6763.39,2582.0,6886.07,2624.0,6998.08,2665.0,7107.42,2734.0,7291.44,37496.0,2837.0,7589.82,2953.0,7900.16,3087.0,8258.65,3173.0,8488.72,3260.0,8721.47,3324.0,8892.69,3364.0,8999.71,3397.0,9087.99,3426.0,9165.57,3464.0,9267.24,3514.0,9401.0,3543.0,9478.58,3579.0,9574.89,3656.0,9780.89,3707.0,9917.33,3749.0,10029.7,3795.0,10152.76,3867.0,10345.38,3892.0,10412.26,37379.0
2515.0,2.74923,LAS FUENTES NORTE,206.0,903.62767,205.0,899.24113,212.0,929.94692,216.0,947.49309,222.0,973.81234,226.0,991.35851,239.0,1048.38356,243.0,1065.92973,242.0,1061.54319,248.0,1087.86244,254.0,1114.18169,258.0,1131.72786,259.0,1136.1144,261.0,1144.88748,266.0,1166.8202,268.0,1175.59328,311.0,1364.21459,311.0,1364.21459,313.0,1372.98767,317.0,1390.53384,326.0,1430.01272,337.0,1478.26468,338.0,1482.65123,375.0,1644.95,383.0,1680046.0,400.0,1754.62,406.0,1780.94,411.0,1802.87,421.0,1846.73,421.0,1846.73,427.0,1873.05,428.0,1877.44,434.0,1903.76,471.0,2066.06,564.0,2474.01,707.0,3101.29,811.0,3557.49,892.0,3912.79554,940.0,4123.35,985.0,4320.74396,1068.0,4684.82695,1112.0,4877.83,1200.0,5263.85,1224.0,5369.13,1259.0,5522.66,1301.0,5706.89,1369.0,6005.18,1499.0,6575.43,1572.0,6895.64,1658.0,7272.89,1725.0,7566.79,1758.0,7711.54,1801.0,7900.16,1810.0,7939.64,1820.0,7983.51,1840.0,8071.24,1862.0,8167.74,1898.0,8325.66,22797.0,1970.0,8667.34,2039.0,8970.92,2098.0,9230.5,2136.0,9397.69,2194.0,9652.87,2228.0,9802.46,2246.0,9881.65,2262.0,9952.04,2270.0,9987.24,2281.0,10035.64,2293.0,10088.43,2306.0,10145.63,2319.0,10202.82,2344.0,10312.82,2358.0,10374.41,2375.0,10449.21,2399.0,10554.8,2437.0,10721.99,2455.0,10801.18,22729.0
2516.0,13.92131,TORRE RAMONA,38.0,164.57341,38.0,164.57341,53.0,229.5366,56.0,242.52923,61.0,264.18363,63.0,272.84539,67.0,290.1689,70.0,303.16154,73.0,316.15418,76.0,329.14682,80.0,346.47033,83.0,359.46297,84.0,363.79385,84.0,363.79385,85.0,368.12473,85.0,368.12473,104.0,450.41143,104.0,450.41143,108.0,467.73495,109.0,472.06583,110.0,476.39671,112.0,485.05847,112.0,485.05847,122.0,528.37,137.0,593.33,149.0,645.3,154.0,666.96,158.0,684.28,162.0,701.6,163.0,705.93,173.0,749.24,174.0,753.57,183.0,792.55,217.0,939.8,266.0,1152.01,341.0,1476.83,433.0,1875.27,496.0,2148.11607,561.0,2429.62,588.0,2546.55695,645.0,2793.41706,681.0,2949.33,778.0,3369.42,786.0,3404.07,828.0,3585.97,866.0,3750.54,933.0,4040.71,1051.0,4551.75,1174.0,5084.45,1254.0,5430.92,1300.0,5630.14,1349.0,5842.36,1393.0,6032.91,1419.0,6145.52,1441.0,6240.8,1465.0,6344.74,1501.0,6500.65,1553.0,6725.86,23090.0,1612.0,6998.65,1730.0,7510.96,1813.0,7871.32,1849.0,8027.61,1883.0,8175.23,1915.0,8314.16,1933.0,8392.31,1949.0,8461.77,1957.0,8496.51,1972.0,8561.63,1994.0,8657.14,2003.0,8696.22,2015.0,8748.32,2041.0,8861.2,2058.0,8935.01,2089.0,9069.6,2102.0,9126.04,2151.0,9338.77,2167.0,9408.24,23033.0
